PERMNO,date,SHRCD,EXCHCD,SICCD,TICKER,COMNAM,SHRCLS,PRC,VOL,RET,SHROUT,NUMTRD,sprtrn
14593,19930616,11,3,3573,AAPL,APPLE COMPUTER INC,,42.25000,3169331,0.005952,116595,2229,0.002599
14593,19930617,11,3,3573,AAPL,APPLE COMPUTER INC,,41.25000,3691880,-0.023669,116595,2469,0.002481
14593,19930618,11,3,3573,AAPL,APPLE COMPUTER INC,,41.00000,2785809,-0.006061,116595,2445,-0.010835
14593,19930621,11,3,3573,AAPL,APPLE COMPUTER INC,,39.62500,2447912,-0.033537,116595,2169,0.005725
14593,19930622,11,3,3573,AAPL,APPLE COMPUTER INC,,41.37500,3010490,0.044164,116595,2475,-0.000650
14593,19930623,11,3,3573,AAPL,APPLE COMPUTER INC,,40.50000,1621037,-0.021148,116595,1504,-0.006144
14593,19930624,11,3,3573,AAPL,APPLE COMPUTER INC,,41.75000,1993478,0.030864,116595,1237,0.007739
14593,19930625,11,3,3573,AAPL,APPLE COMPUTER INC,,40.00000,2352488,-0.041916,115614,1862,0.002194
14593,19930628,11,3,3573,AAPL,APPLE COMPUTER INC,,40.12500,3161914,0.003125,115614,2079,0.009495
14593,19930629,11,3,3573,AAPL,APPLE COMPUTER INC,,39.00000,2633092,-0.028037,115614,1844,-0.002567
14593,19930630,11,3,3573,AAPL,APPLE COMPUTER INC,,39.50000,1796713,0.012821,115614,1325,-0.000355
14593,19930701,11,3,3573,AAPL,APPLE COMPUTER INC,,38.00000,2051796,-0.037975,115614,1424,-0.003352
14593,19930702,11,3,3573,AAPL,APPLE COMPUTER INC,,38.50000,1714733,0.013158,115614,1372,-0.007082
14593,19930706,11,3,3573,AAPL,APPLE COMPUTER INC,,37.75000,1389867,-0.019481,115614,1378,-0.009891
14593,19930707,11,3,3573,AAPL,APPLE COMPUTER INC,,36.50000,2033473,-0.033113,115614,2006,0.003172
14593,19930708,11,3,3573,AAPL,APPLE COMPUTER INC,,36.50000,1245401,0.000000,115614,1445,0.013120
14593,19930709,11,3,3573,AAPL,APPLE COMPUTER INC,,36.75000,1404638,0.006849,115614,1048,-0.001137
14593,19930712,11,3,3573,AAPL,APPLE COMPUTER INC,,38.00000,1557992,0.034014,115614,1286,0.001897
14593,19930713,11,3,3573,AAPL,APPLE COMPUTER INC,,37.25000,1416906,-0.019737,115614,1314,-0.001982
14593,19930714,11,3,3573,AAPL,APPLE COMPUTER INC,,37.25000,2203793,0.000000,115614,1575,0.004441
14593,19930715,11,3,3573,AAPL,APPLE COMPUTER INC,,35.75000,3023809,-0.040268,115614,1827,-0.001911
14593,19930716,11,3,3573,AAPL,APPLE COMPUTER INC,,27.50000,19418138,-0.230769,115614,11879,-0.007725
14593,19930719,11,3,3573,AAPL,APPLE COMPUTER INC,,25.62500,7219729,-0.068182,115614,6633,0.000628
14593,19930720,11,3,3573,AAPL,APPLE COMPUTER INC,,26.87500,4763227,0.048780,115614,4042,0.002870
14593,19930721,11,3,3573,AAPL,APPLE COMPUTER INC,,26.25000,4136566,-0.023256,115614,3427,-0.000291
14593,19930722,11,3,3573,AAPL,APPLE COMPUTER INC,,26.50000,1891605,0.009524,115614,1833,-0.005971
14593,19930723,11,3,3573,AAPL,APPLE COMPUTER INC,,26.25000,2092262,-0.009434,115614,1847,0.005827
14593,19930726,11,3,3573,AAPL,APPLE COMPUTER INC,,26.87500,1369352,0.023810,115614,1301,0.004451
14593,19930727,11,3,3573,AAPL,APPLE COMPUTER INC,,26.50000,1779617,-0.013953,115614,1551,-0.001893
14593,19930728,11,3,3573,AAPL,APPLE COMPUTER INC,,26.87500,824941,0.014151,115614,918,-0.002342
14593,19930729,11,3,3573,AAPL,APPLE COMPUTER INC,,27.25000,1088577,0.013953,115614,1126,0.006820
14593,19930730,11,3,3573,AAPL,APPLE COMPUTER INC,,27.75000,1922297,0.018349,115614,2203,-0.004686
14593,19930802,11,3,3573,AAPL,APPLE COMPUTER INC,,28.50000,1940173,0.027027,115614,2281,0.004508
